# Region type :   patch inlet
# Faces           : 120
# Area            : 5.0000000000e-03
# Scale factor    : 1.0000000000e+00
# Time            	sum(myPhi)
0.176795          	-4.2977003774e-02
0.177253          	-4.3749649597e-02
0.177802          	-4.4949911571e-02
0.178352          	-4.4949840505e-02
0.178901          	-4.4956351005e-02
0.179451          	-4.4963214862e-02
0.18              	-4.4970041033e-02
0.180556          	-4.5055860943e-02
0.181111          	-4.5061460656e-02
0.181561          	-4.3681912259e-02
0.182073          	-4.4519415103e-02
0.182571          	-4.4335536831e-02
0.183133          	-4.5184279649e-02
0.183677          	-4.4947179607e-02
0.184282          	-4.5739168932e-02
0.184824          	-4.4923027448e-02
0.185366          	-4.4932706237e-02
0.185976          	-4.5818894430e-02
0.186613          	-4.6169653667e-02
0.187318          	-4.7019982841e-02
0.187755          	-4.3538108889e-02
0.188245          	-4.4255786895e-02
0.188805          	-4.5178905172e-02
0.189427          	-4.5983733468e-02
0.190087          	-4.6475144859e-02
0.190707          	-4.5934298646e-02
0.191422          	-4.7153744264e-02
0.192082          	-4.6430895471e-02
0.192801          	-4.7192069611e-02
0.193251          	-4.3690291819e-02
0.193771          	-4.4624862241e-02
0.194337          	-4.5241840409e-02
0.194903          	-4.5240689518e-02
0.19554           	-4.6158289678e-02
0.196036          	-4.4309659239e-02
0.196602          	-4.5251837199e-02
0.197168          	-4.5248082429e-02
0.197735          	-4.5250094132e-02
0.198301          	-4.5251472173e-02
0.198726          	-4.3386895372e-02
0.199151          	-4.3400485778e-02
0.199575          	-4.3407688812e-02
0.2               	-4.3414683672e-02
0.200488          	-4.4263956599e-02
0.201045          	-4.5184525154e-02
0.201657          	-4.5882899523e-02
0.202127          	-4.4021495954e-02
0.202653          	-4.4768465456e-02
0.203178          	-4.4766814165e-02
0.203529          	-4.2420948538e-02
0.203921          	-4.3000963844e-02
0.204368          	-4.3741122925e-02
0.204872          	-4.4514118595e-02
0.205394          	-4.4743754687e-02
0.205978          	-4.5569054287e-02
0.206615          	-4.6251810399e-02
0.207253          	-4.6236954302e-02
0.207961          	-4.7137110720e-02
0.208563          	-4.5745858978e-02
0.209083          	-4.4676658674e-02
0.209557          	-4.4085060078e-02
0.210079          	-4.4721272271e-02
0.210575          	-4.4374082983e-02
0.21113           	-4.5149405457e-02
0.211763          	-4.6175738208e-02
0.212248          	-4.4209224576e-02
0.212802          	-4.5136019001e-02
0.213402          	-4.5732697753e-02
0.213731          	-4.2132226894e-02
0.2141            	-4.2675494738e-02
0.214522          	-4.3393595235e-02
0.214978          	-4.3868464528e-02
0.21548           	-4.4480087328e-02
0.216045          	-4.5308504464e-02
0.21654           	-4.4368098697e-02
0.217034          	-4.4374736338e-02
0.217627          	-4.5681653212e-02
0.21822           	-4.5666459227e-02
0.218814          	-4.5660604549e-02
0.219209          	-4.3032274238e-02
0.219605          	-4.3045648774e-02
0.22              	-4.3050942458e-02
0.220455          	-4.3853661798e-02
0.220969          	-4.4652613316e-02
0.221546          	-4.5471716999e-02
0.222007          	-4.3934313526e-02
0.222536          	-4.4848052740e-02
0.223008          	-4.4081442109e-02
0.22348           	-4.4087193996e-02
0.224013          	-4.4900631616e-02
0.224483          	-4.4060934593e-02
0.225018          	-4.4931058330e-02
0.225618          	-4.5769307426e-02
0.226302          	-4.6865014627e-02
0.226925          	-4.6034635153e-02
0.227548          	-4.6031020929e-02
0.228114          	-4.5285717940e-02
0.228739          	-4.6062130202e-02
0.229156          	-4.3304211422e-02
0.229628          	-4.4046855350e-02
0.230174          	-4.5032241965e-02
0.230691          	-4.4647020833e-02
0.231273          	-4.5498903288e-02
0.231896          	-4.6029261174e-02
0.232346          	-4.3745723876e-02
0.232857          	-4.4556776997e-02
0.233406          	-4.5071134567e-02
0.233956          	-4.5066883832e-02
0.234387          	-4.3505992972e-02
0.234855          	-4.3997548893e-02
0.23537           	-4.4620137124e-02
0.235833          	-4.3934543179e-02
0.236353          	-4.4709985530e-02
0.236961          	-4.5844421617e-02
0.237569          	-4.5829445992e-02
0.238177          	-4.5822589993e-02
0.238784          	-4.5816291051e-02
0.239392          	-4.5810236715e-02
0.24              	-4.5804492910e-02
0.240571          	-4.5327456975e-02
0.24107           	-4.4367864326e-02
0.241626          	-4.5145327902e-02
0.242086          	-4.3856409227e-02
0.242598          	-4.4561812726e-02
0.243178          	-4.5455080992e-02
0.243825          	-4.6312276770e-02
0.2443            	-4.4065427499e-02
0.244736          	-4.3551240169e-02
0.245229          	-4.4307139952e-02
0.245776          	-4.5027711196e-02
0.246284          	-4.4509371226e-02
0.246833          	-4.5048516408e-02
0.247359          	-4.4756799653e-02
0.247781          	-4.3360718041e-02
0.248251          	-4.4021413238e-02
0.248785          	-4.4871120694e-02
0.249375          	-4.5602763386e-02
0.250039          	-4.6547628266e-02
0.250563          	-4.4715434137e-02
0.251153          	-4.5584019630e-02
0.251619          	-4.3944680548e-02
0.252             	-4.2820896969e-02
0.252421          	-4.3371514376e-02
0.252894          	-4.4079853512e-02
0.253289          	-4.3021671453e-02
0.253737          	-4.3740054452e-02
0.254259          	-4.4735620187e-02
0.25478           	-4.4731406399e-02
0.25536           	-4.5495082793e-02
0.25594           	-4.5485984511e-02
0.256448          	-4.4528662093e-02
0.256803          	-4.2490571666e-02
0.257203          	-4.3105646049e-02
0.257552          	-4.2429279075e-02
0.25796           	-4.3230836805e-02
0.25847           	-4.4603873221e-02
0.25898           	-4.4597686695e-02
0.25949           	-4.4598497664e-02
0.26              	-4.4599203021e-02
0.260541          	-4.5006266390e-02
0.261066          	-4.4809039014e-02
0.261411          	-4.2362110708e-02
0.261798          	-4.2962705521e-02
0.262242          	-4.3735399978e-02
0.262749          	-4.4587666673e-02
0.263288          	-4.5005633771e-02
0.263885          	-4.5763253426e-02
0.264441          	-4.5209447538e-02
0.265063          	-4.6084302183e-02
0.265617          	-4.5162516274e-02
0.266242          	-4.6110519399e-02
0.266686          	-4.3698015085e-02
0.267179          	-4.4371961111e-02
0.267736          	-4.5223111807e-02
0.268382          	-4.6364722257e-02
0.268963          	-4.5504358205e-02
0.269612          	-4.6393433384e-02
0.270189          	-4.5438003384e-02
0.270734          	-4.5019991617e-02
0.271279          	-4.5021470695e-02
0.271738          	-4.3880440444e-02
0.272254          	-4.4652210673e-02
0.272808          	-4.5135044648e-02
0.273407          	-4.5733240721e-02
0.273914          	-4.4514547946e-02
0.274467          	-4.5129765036e-02
0.275082          	-4.5926403449e-02
0.275697          	-4.5912976043e-02
0.276175          	-4.4116717247e-02
0.276721          	-4.5030253624e-02
0.277086          	-4.2596679378e-02
0.277502          	-4.3313168449e-02
0.277918          	-4.3316189164e-02
0.278439          	-4.4712409710e-02
0.278959          	-4.4706097128e-02
0.27948           	-4.4706421850e-02
0.28              	-4.4707089751e-02
0.280541          	-4.4973494753e-02
0.28104           	-4.4421547988e-02
0.281597          	-4.5201167202e-02
0.281965          	-4.2663550207e-02
0.282375          	-4.3243644918e-02
0.282839          	-4.3972834260e-02
0.283359          	-4.4722277201e-02
0.283953          	-4.5696471041e-02
0.284455          	-4.4461719999e-02
0.28501           	-4.5179828391e-02
0.285586          	-4.5453531853e-02
0.286141          	-4.5156710553e-02
0.286674          	-4.4875125448e-02
0.287104          	-4.3502375190e-02
0.287581          	-4.4152679299e-02
0.288041          	-4.3916260694e-02
0.288454          	-4.3280534327e-02
0.288916          	-4.3954436824e-02
0.289443          	-4.4834874069e-02
0.289999          	-4.5196509287e-02
0.290624          	-4.6100460789e-02
0.29105           	-4.3456536181e-02
0.291521          	-4.4073265359e-02
0.291945          	-4.3440119376e-02
0.292419          	-4.4117549807e-02
0.292961          	-4.5017725969e-02
0.293547          	-4.5604598406e-02
0.294134          	-4.5594627081e-02
0.294667          	-4.4888011569e-02
0.2952            	-4.4890810296e-02
0.2958            	-4.5765435661e-02
0.2964            	-4.5752636716e-02
0.29685           	-4.3766678368e-02
0.2973            	-4.3778083742e-02
0.29784           	-4.4980049416e-02
0.29838           	-4.4971747740e-02
0.29892           	-4.4970065958e-02
0.29946           	-4.4968464459e-02
0.3               	-4.4966830156e-02
0.300606          	-4.5831316198e-02
0.301079          	-4.4068538420e-02
0.301473          	-4.3020236726e-02
0.301914          	-4.3662253943e-02
0.302417          	-4.4483259268e-02
0.302856          	-4.3641277794e-02
0.303361          	-4.4513604540e-02
0.303897          	-4.4941373512e-02
0.304434          	-4.4937613565e-02
0.304953          	-4.4699514410e-02
0.30551           	-4.5208271015e-02
0.306114          	-4.5810334849e-02
0.306522          	-4.3212129377e-02
0.306972          	-4.3776185435e-02
0.307473          	-4.4470875893e-02
0.30792           	-4.3751170375e-02
0.308423          	-4.4506166086e-02
0.308975          	-4.5138410107e-02
0.309587          	-4.5934887732e-02
0.3102            	-4.5920146898e-02
0.31069           	-4.4302189495e-02
0.31118           	-4.4311597343e-02
0.311621          	-4.3658477378e-02
0.31202           	-4.3098058995e-02
0.312463          	-4.3703877855e-02
0.31284           	-4.2805190620e-02
0.313261          	-4.3415702296e-02
0.313743          	-4.4228246618e-02
0.314311          	-4.5388795702e-02
0.31488           	-4.5376531511e-02
0.31552           	-4.6300793527e-02
0.31616           	-4.6281490486e-02
0.316544          	-4.2883176381e-02
0.316976          	-4.3548211536e-02
0.317408          	-4.3550130843e-02
0.317732          	-4.2083461417e-02
0.31811           	-4.2832684876e-02
0.318583          	-4.4115681100e-02
0.319055          	-4.4112068920e-02
0.319528          	-4.4114144505e-02
0.32              	-4.4116256866e-02
0.320541          	-4.5027073665e-02
0.320922          	-4.2883232052e-02
0.321346          	-4.3471833996e-02
0.321824          	-4.4207642403e-02
0.322257          	-4.3591059417e-02
0.322737          	-4.4228013359e-02
0.323129          	-4.3045590930e-02
0.323573          	-4.3756104714e-02
0.324071          	-4.4481448424e-02
0.32464           	-4.5424791555e-02
0.325105          	-4.4033863784e-02
0.325586          	-4.4243727813e-02
0.325955          	-4.2738295527e-02
0.326368          	-4.3342397341e-02
0.326838          	-4.4117299025e-02
0.327326          	-4.4349353508e-02
0.327735          	-4.3283614094e-02
0.328189          	-4.3908543389e-02
0.328611          	-4.3466780873e-02
0.329085          	-4.4186774054e-02
0.329605          	-4.4791364648e-02
0.330183          	-4.5553739122e-02
0.33065           	-4.4073597675e-02
0.331095          	-4.3780080197e-02
